PossessionBucket,Matches,AvgGoals,ScoringRate
<50%,99,1.121212121212121,69.6969696969697
50-55%,26,1.8461538461538463,73.07692307692307
55-60%,20,1.75,70.0
60-65%,24,2.1666666666666665,95.83333333333334
65-70%,17,2.764705882352941,94.11764705882352
70%+,14,1.7142857142857142,57.14285714285714
